item,scale,content
mslq66,Critical_Thinking,I try to play around with ideas of my own related to what I am learning in this course
mslq67,Elaboration,"When I study for a course, I write brief summaries of the main ideas from the readings and my class notes"
mslq68,Help_Seeking,"When I cannot understand the material in a course, I ask another student in the class for help"
mslq69,Elaboration,I try to understand the material in a class by making connections between readings and the concepts from the lectures
mslq70,Time_Study_Environment,I make sure that I keep up with the weekly readings and assignments for this course
mslq71,Critical_Thinking,"Whenever I read or hear an assertion or conclusion in a class, I think about possible alternatives"
mslq72,Rehearsal,I make lists of important items for a course and memorize the lists
mslq73,Time_Study_Environment,I attend class regularly
mslq74,Effort_Regulation,"Even when course materials are dull and uninteresting, I manage to keep working until I finish"
mslq75,Help_Seeking,I try to identify students in a class whom I can ask for help if necessary
mslq76,Metacognitive_Selfregulation,When studying for a course I try to determine which concepts I do not understand well
mslq77,Time_Study_Environment,I often find that I do not spend much time on a course because of other activities
mslq78,Metacognitive_Selfregulation,"When I study for a class, I set goals for myself in order to direct my activities in each study period"
mslq79,Metacognitive_Selfregulation,"If I get confused taking notes in class, I make sure I sort it out afterwards"
mslq80,Time_Study_Environment,I rarely find time to review my notes or readings for an exam
mslq81,Elaboration,I try to apply ideas from course readings in other class activities such as lecture and discussion
